Anio   2019 Mes:  01
21/03/2019  25518120         RONDON CABRERA ALEXANDER ADOLFO                     121
22/03/2019  42956681         POMAJAMBO EGUSQUIZA PAUL                            320
23/03/2019  35912665         MARTINEZ CRUZ EVERT RONY                            126
23/03/2019  85501710         VIZCARDO SINCHE MARIBEL                             333
25/03/2019  15559308         BRAVO CORTES JANET FLOR                             147
25/03/2019  48878256         RAFFO CORONADO ROLANDO                              318
27/03/2019  34976629         LOZADA ARGUEDAS FELICITA VALENTINA                  132
27/03/2019  47528229         SAAVEDRA GONZALES WILMER                            127
30/03/2019  27864822         FIGUEROA MEDINA MADELEINE                           326
30/03/2019  79672079         CONTRERAS CHANG JOHANA CINTHIA                      334

Anio   2019 Mes:  04
FECHA       LICENCIA                      NOMBRE                                FALTA
====================================================================================================
01/04/2019  25518120         RONDON CABRERA ALEXANDER ADOLFO                     122
03/04/2019  80457845         NORABUENA MOYA HECTOR                               113
04/04/2019  89941095         ARCA LARRIEGA LUCERO YLIANA                         147
05/04/2019  82031355         EGUSQUIZA BERROCAL DORIS NANCY                      122
05/04/2019  15559308         BRAVO CORTES JANET FLOR                             312
06/04/2019  84186239         RIVERO CORONADO HECTOR ALONSO                       153
07/04/2019  15115705         HERNANDEZ CORRALES GUILLERMO                        157
07/04/2019  29833157         HIJAR LAM MARTIN                                    146
08/04/2019  35297848         ASTETE CHANG GUIDA                                  117
08/04/2019  32244565         HENRIQUEZ PAREDES PAUL RAFAEL                       134
11/04/2019  84186239         RIVERO CORONADO HECTOR ALONSO                       117
11/04/2019  45043076         VEGA VILCARA CARMELA TERESA                         320
13/04/2019  80310768         MINAYA BERROCAL HELI                                323
15/04/2019  73567806         ARCA SANCHEZ MAGALI BEATRIZ                         341
16/04/2019  63736112         ZAMORA ZAVALETA RONAL MANUEL                        160
18/04/2019  67185679         FLORENCIO CORONADO ALONSO                           134
19/04/2019  73567806         ARCA SANCHEZ MAGALI BEATRIZ                         106
19/04/2019  35671623         EPIQUEN YEP GUIDA VICTORIA                          151
20/04/2019  29833157         HIJAR LAM MARTIN                                    130
20/04/2019  54141214         DURAND MIRANDA MIGUEL JUAN                          140
22/04/2019  82031355         EGUSQUIZA BERROCAL DORIS NANCY                      143
22/04/2019  53853385         SOLIS NARVAEZ MARIA MADELEINE                       302
22/04/2019  36079131         ZAVALETA VILCA ERICKA ELEONOR                       204
25/04/2019  35912665         MARTINEZ CRUZ EVERT RONY                            160
26/04/2019  96693273         VALDERRAMA BERROCAL EVERT                           148
29/04/2019  32244565         HENRIQUEZ PAREDES PAUL RAFAEL                       325
30/04/2019  96693273         VALDERRAMA BERROCAL EVERT                           170
30/04/2019  36079131         ZAVALETA VILCA ERICKA ELEONOR                       137

Anio   2019 Mes:  05
FECHA       LICENCIA                      NOMBRE                                FALTA
====================================================================================================
01/05/2019  81799482         CERNA CERNA CINTHIA                                 161
01/05/2019  60784914         RUIZ ZEVALLOS WALTER RONY                           170
02/05/2019  75945248         MEJIA RODRIGUEZ INES VALENTINA                      331
02/05/2019  77763722         FARFAN SALAZAR MARGOT                               101
03/05/2019  51395324         TRIGUEROS PORTUGAL ARTURO FAUSTO                    121
03/05/2019  73567806         ARCA SANCHEZ MAGALI BEATRIZ                         301
03/05/2019  48878256         RAFFO CORONADO ROLANDO                              335
03/05/2019  27864822         FIGUEROA MEDINA MADELEINE                           119
04/05/2019  71578206         ARROYO TOMASICHE NATALIA                            127
05/05/2019  88167677         PRADO VERA JUAN                                     335
05/05/2019  80457845         NORABUENA MOYA HECTOR                               108
06/05/2019  52002275         CASANOVA ZEGARRA MARITZA                            321
09/05/2019  19568447         VEGA SORIA HENRRY                                   102
10/05/2019  96693273         VALDERRAMA BERROCAL EVERT                           306
10/05/2019  87495937         MORALES PASQUEL KARIN MARIBEL                       121
13/05/2019  75945248         MEJIA RODRIGUEZ INES VALENTINA                      152
13/05/2019  90467829         IPARRAGUIRRE PEREZ NICOLAS                          308
13/05/2019  32244565         HENRIQUEZ PAREDES PAUL RAFAEL                       154
14/05/2019  38862473         WONG MAEIREIZO BEATRIZ                              306
14/05/2019  16925690         CABRERA TORO FANNY                                  321
14/05/2019  34248357         LEYVA LANDEO NANCY SONIA                            304
15/05/2019  80310768         MINAYA BERROCAL HELI                                208
15/05/2019  26522329         SANCHEZ DEL CASTILLO FIORELLA ROSARIO               306
15/05/2019  38862473         WONG MAEIREIZO BEATRIZ                              328
16/05/2019  87495937         MORALES PASQUEL KARIN MARIBEL                       109
18/05/2019  66849703         MERCADO CORONEL ELIA                                201
18/05/2019  48878256         RAFFO CORONADO ROLANDO                              106
19/05/2019  79641328         TOKESHI GUEVARA JAIME                               151
19/05/2019  66849703         MERCADO CORONEL ELIA                                118
20/05/2019  35683701         DIAZ MOYA ELIA ANNIE                                137
21/05/2019  73357516         TRIGUEROS JUGO LUZ                                  147
21/05/2019  16136330         YEP PRECIADO RICHARD                                341
21/05/2019  53853385         SOLIS NARVAEZ MARIA MADELEINE                       109
22/05/2019  49927087         INGA PALOMARES ERIKA                                152
22/05/2019  29833157         HIJAR LAM MARTIN                                    114
23/05/2019  53853385         SOLIS NARVAEZ MARIA MADELEINE                       104
24/05/2019  34248357         LEYVA LANDEO NANCY SONIA                            128
26/05/2019  80457845         NORABUENA MOYA HECTOR                               122
26/05/2019  75348522         LOZADA FORZANI DELIA                                126
27/05/2019  73357516         TRIGUEROS JUGO LUZ                                  151
28/05/2019  99950484         CORTES CORTEZ RAUL ALEX                             166
28/05/2019  96693273         VALDERRAMA BERROCAL EVERT                           137
30/05/2019  96693273         VALDERRAMA BERROCAL EVERT                           322
30/05/2019  15029228         VALVERDE MAEIREIZO MELVIN JAIR                      206
31/05/2019  88167677         PRADO VERA JUAN                                     154
31/05/2019  74325123         TANG MOSCOSO JOHANA                                 128
31/05/2019  50201756         ZEGARRA PENA CARMELA                                204

Anio   2019 Mes:  06
FECHA       LICENCIA                      NOMBRE                                FALTA
====================================================================================================
01/06/2019  49927087         INGA PALOMARES ERIKA                                145
01/06/2019  16477908         BACA CAMACHO MILAGROS NATALIA                       132
02/06/2019  88167677         PRADO VERA JUAN                                     118
03/06/2019  80457845         NORABUENA MOYA HECTOR                               137
03/06/2019  16925690         CABRERA TORO FANNY                                  144
05/06/2019  21621497         AYALA CASTILLO ERICKA OFELIA                        146
05/06/2019  64532449         INFANTES MERCADO LUIS WALDEMAR                      146
06/06/2019  39544560         LUNA VARGAS WALDEMAR                                126
07/06/2019  19963454         SALAMANCA CABRERA NESTOR EVERT                      129
08/06/2019  24859596         FLORIAN CUBA CHRISTIAN                              328
08/06/2019  12858682         ZARATE PEREZ ALEXANDER                              121
08/06/2019  30046639         SALAMANCA VEGA VIRGINIA MARTHA                      116
10/06/2019  73972114         AVILA MARTEL JAIME MANUEL                           304
10/06/2019  27864822         FIGUEROA MEDINA MADELEINE                           137
10/06/2019  82870470         SEDANO RETAMOSO ELIA YOLANDA                        108
11/06/2019  81799482         CERNA CERNA CINTHIA                                 151
12/06/2019  26522329         SANCHEZ DEL CASTILLO FIORELLA ROSARIO               332
12/06/2019  36079131         ZAVALETA VILCA ERICKA ELEONOR                       137
12/06/2019  79672079         CONTRERAS CHANG JOHANA CINTHIA                      306
12/06/2019  88167677         PRADO VERA JUAN                                     116
13/06/2019  88167677         PRADO VERA JUAN                                     315
14/06/2019  68310808         CANO POLO MILAGROS ISABEL                           132
15/06/2019  26522329         SANCHEZ DEL CASTILLO FIORELLA ROSARIO               164
16/06/2019  54447051         AVILA DEL CASTILLO ANNIE                            130
17/06/2019  87282766         SUAREZ CHANG GLORIA                                 165
17/06/2019  86718074         ESCALANTE ROJAS INES ADRIA                          203
19/06/2019  31107104         MOSCOSO ARIAS FIORELLA                              301
19/06/2019  85501710         VIZCARDO SINCHE MARIBEL                             113
19/06/2019  89314225         RIOS DURAND CARLOS EDILBERTO                        318
20/06/2019  53374153         SERRANO IBEROS FRANCISCO                            159
21/06/2019  34248357         LEYVA LANDEO NANCY SONIA                            161
21/06/2019  24859596         FLORIAN CUBA CHRISTIAN                              306
21/06/2019  71578206         ARROYO TOMASICHE NATALIA                            125
23/06/2019  49428502         RIVERO CORTEZ WILVER ALFONSO                        338
24/06/2019  48450395         RAMIREZ ASTETE KARINA ESTEFANIA                     321
25/06/2019  36079131         ZAVALETA VILCA ERICKA ELEONOR                       301
25/06/2019  73357516         TRIGUEROS JUGO LUZ                                  311
25/06/2019  68310808         CANO POLO MILAGROS ISABEL                           155
25/06/2019  27268323         LOZADA IBEROS HELI BLANCA                           106
26/06/2019  69252518         GORDILLO SANCHEZ RONALD JUVENAL                     163
26/06/2019  79766395         FUENTES ESCALANTE PATRICIA ELIZABETH                159
27/06/2019  12858682         ZARATE PEREZ ALEXANDER                              337
28/06/2019  87282766         SUAREZ CHANG GLORIA                                 133
28/06/2019  71832810         SUELDO SEDANO ADRIA                                 128
29/06/2019  73567806         ARCA SANCHEZ MAGALI BEATRIZ                         311
29/06/2019  79641328         TOKESHI GUEVARA JAIME                               156
29/06/2019  47528229         SAAVEDRA GONZALES WILMER                            207
30/06/2019  54447051         AVILA DEL CASTILLO ANNIE                            205
30/06/2019  13219606         RODRIGUEZ MORENO BLANCA OFELIA                      107

Anio   2019 Mes:  07
FECHA       LICENCIA                      NOMBRE                                FALTA
====================================================================================================
01/07/2019  80457845         NORABUENA MOYA HECTOR                               126
02/07/2019  88854166         PINTO ROJAS JUVENAL FRANCISCO                       121
02/07/2019  48878256         RAFFO CORONADO ROLANDO                              125
02/07/2019  79641328         TOKESHI GUEVARA JAIME                               163
02/07/2019  85501710         VIZCARDO SINCHE MARIBEL                             125
04/07/2019  13219606         RODRIGUEZ MORENO BLANCA OFELIA                      164
05/07/2019  43454884         ESPINOZA CHANG SHIRLEY                              327
06/07/2019  16925690         CABRERA TORO FANNY                                  117
08/07/2019  50200823         LEYVA SAM DIANA DELIA                               152
09/07/2019  69252518         GORDILLO SANCHEZ RONALD JUVENAL                     115
10/07/2019  42956681         POMAJAMBO EGUSQUIZA PAUL                            145
11/07/2019  16925690         CABRERA TORO FANNY                                  330
12/07/2019  70414420         AVILA REYES TATIANA                                 164
12/07/2019  34248357         LEYVA LANDEO NANCY SONIA                            311
12/07/2019  47528229         SAAVEDRA GONZALES WILMER                            153
13/07/2019  38862473         WONG MAEIREIZO BEATRIZ                              328
14/07/2019  71832810         SUELDO SEDANO ADRIA                                 202
14/07/2019  81485316         JUSTINO MARTINEZ ENRIQUE                            339
15/07/2019  30441350         RETAMOSO SALAMANCA DELIA MARITZA                    134
16/07/2019  48450395         RAMIREZ ASTETE KARINA ESTEFANIA                     132
17/07/2019  79641328         TOKESHI GUEVARA JAIME                               324
18/07/2019  27864822         FIGUEROA MEDINA MADELEINE                           321
21/07/2019  29989682         CAMACHO PAIRAZAMAN YDALI LUCERO                     206
22/07/2019  35912665         MARTINEZ CRUZ EVERT RONY                            156
22/07/2019  26522329         SANCHEZ DEL CASTILLO FIORELLA ROSARIO               341
23/07/2019  52002275         CASANOVA ZEGARRA MARITZA                            333
24/07/2019  69252518         GORDILLO SANCHEZ RONALD JUVENAL                     148
24/07/2019  12270502         CUEVA FUENTES CINTHIA DELIA                         148
26/07/2019  85501710         VIZCARDO SINCHE MARIBEL                             122
26/07/2019  73567806         ARCA SANCHEZ MAGALI BEATRIZ                         320
27/07/2019  12443643         LEE SERRANO ROSARIO                                 170
27/07/2019  89941095         ARCA LARRIEGA LUCERO YLIANA                         312
29/07/2019  32244565         HENRIQUEZ PAREDES PAUL RAFAEL                       136
29/07/2019  50201756         ZEGARRA PENA CARMELA                                161

Anio   2019 Mes:  08
FECHA       LICENCIA                      NOMBRE                                FALTA
====================================================================================================
01/08/2019  42956681         POMAJAMBO EGUSQUIZA PAUL                            122
03/08/2019  32244565         HENRIQUEZ PAREDES PAUL RAFAEL                       146
05/08/2019  54447051         AVILA DEL CASTILLO ANNIE                            331
06/08/2019  99950484         CORTES CORTEZ RAUL ALEX                             141
06/08/2019  48878256         RAFFO CORONADO ROLANDO                              305
08/08/2019  34976629         LOZADA ARGUEDAS FELICITA VALENTINA                  117
08/08/2019  77763722         FARFAN SALAZAR MARGOT                               341
09/08/2019  87495937         MORALES PASQUEL KARIN MARIBEL                       119
09/08/2019  73357516         TRIGUEROS JUGO LUZ                                  310
09/08/2019  16925690         CABRERA TORO FANNY                                  161
10/08/2019  67185679         FLORENCIO CORONADO ALONSO                           122
10/08/2019  42956681         POMAJAMBO EGUSQUIZA PAUL                            308
10/08/2019  79766395         FUENTES ESCALANTE PATRICIA ELIZABETH                163
11/08/2019  49927087         INGA PALOMARES ERIKA                                144
12/08/2019  84186239         RIVERO CORONADO HECTOR ALONSO                       322
14/08/2019  32244565         HENRIQUEZ PAREDES PAUL RAFAEL                       103
14/08/2019  47528229         SAAVEDRA GONZALES WILMER                            307
14/08/2019  60784914         RUIZ ZEVALLOS WALTER RONY                           139
16/08/2019  74325123         TANG MOSCOSO JOHANA                                 305
18/08/2019  36079131         ZAVALETA VILCA ERICKA ELEONOR                       330
18/08/2019  87495937         MORALES PASQUEL KARIN MARIBEL                       115
20/08/2019  79766395         FUENTES ESCALANTE PATRICIA ELIZABETH                336
20/08/2019  48878256         RAFFO CORONADO ROLANDO                              322
21/08/2019  53374153         SERRANO IBEROS FRANCISCO                            134
24/08/2019  88854166         PINTO ROJAS JUVENAL FRANCISCO                       319
24/08/2019  38862473         WONG MAEIREIZO BEATRIZ                              324
25/08/2019  79672079         CONTRERAS CHANG JOHANA CINTHIA                      126
26/08/2019  38862473         WONG MAEIREIZO BEATRIZ                              309
27/08/2019  16925690         CABRERA TORO FANNY                                  144
30/08/2019  81485316         JUSTINO MARTINEZ ENRIQUE                            147
31/08/2019  81485316         JUSTINO MARTINEZ ENRIQUE                            159
31/08/2019  89941095         ARCA LARRIEGA LUCERO YLIANA                         150
31/08/2019  48878256         RAFFO CORONADO ROLANDO                              329

Anio   2019 Mes:  09
FECHA       LICENCIA                      NOMBRE                                FALTA
====================================================================================================
01/09/2019  53853385         SOLIS NARVAEZ MARIA MADELEINE                       170
01/09/2019  77763722         FARFAN SALAZAR MARGOT                               329
01/09/2019  30441350         RETAMOSO SALAMANCA DELIA MARITZA                    129
02/09/2019  15559308         BRAVO CORTES JANET FLOR                             130
02/09/2019  71832810         SUELDO SEDANO ADRIA                                 166
02/09/2019  73357516         TRIGUEROS JUGO LUZ                                  339
03/09/2019  53374153         SERRANO IBEROS FRANCISCO                            142
03/09/2019  47528229         SAAVEDRA GONZALES WILMER                            163
03/09/2019  96693273         VALDERRAMA BERROCAL EVERT                           110
03/09/2019  50200823         LEYVA SAM DIANA DELIA                               129
04/09/2019  44346371         ALFARO ALFARO ERICK BRUNO                           335
04/09/2019  13219606         RODRIGUEZ MORENO BLANCA OFELIA                      136
05/09/2019  88167677         PRADO VERA JUAN                                     104
05/09/2019  50200823         LEYVA SAM DIANA DELIA                               336
05/09/2019  53374153         SERRANO IBEROS FRANCISCO                            101
06/09/2019  88167677         PRADO VERA JUAN                                     127
06/09/2019  30046639         SALAMANCA VEGA VIRGINIA MARTHA                      327
07/09/2019  79672079         CONTRERAS CHANG JOHANA CINTHIA                      127
08/09/2019  64532449         INFANTES MERCADO LUIS WALDEMAR                      161
10/09/2019  35912665         MARTINEZ CRUZ EVERT RONY                            301
12/09/2019  74325123         TANG MOSCOSO JOHANA                                 143
13/09/2019  71832810         SUELDO SEDANO ADRIA                                 124
13/09/2019  71578206         ARROYO TOMASICHE NATALIA                            320
14/09/2019  47844324         VILCA LEE NESTOR HUGO                               101
15/09/2019  50201756         ZEGARRA PENA CARMELA                                142
15/09/2019  38862473         WONG MAEIREIZO BEATRIZ                              339
15/09/2019  52002275         CASANOVA ZEGARRA MARITZA                            110
16/09/2019  87495937         MORALES PASQUEL KARIN MARIBEL                       304
16/09/2019  52002275         CASANOVA ZEGARRA MARITZA                            118
16/09/2019  12270502         CUEVA FUENTES CINTHIA DELIA                         316
17/09/2019  37080813         FLORIAN VALDERRAMA JOSE                             203
19/09/2019  49927087         INGA PALOMARES ERIKA                                146
19/09/2019  89314225         RIOS DURAND CARLOS EDILBERTO                        149
20/09/2019  15559308         BRAVO CORTES JANET FLOR                             161
22/09/2019  82870470         SEDANO RETAMOSO ELIA YOLANDA                        106
23/09/2019  35671623         EPIQUEN YEP GUIDA VICTORIA                          321
23/09/2019  96693273         VALDERRAMA BERROCAL EVERT                           311
24/09/2019  89941095         ARCA LARRIEGA LUCERO YLIANA                         131
25/09/2019  89941095         ARCA LARRIEGA LUCERO YLIANA                         134
25/09/2019  77367073         JAUREGUI DEL CASTILLO VICTOR RICARDO                157
26/09/2019  54141214         DURAND MIRANDA MIGUEL JUAN                          333
26/09/2019  38862473         WONG MAEIREIZO BEATRIZ                              321
26/09/2019  35912665         MARTINEZ CRUZ EVERT RONY                            339
27/09/2019  15559308         BRAVO CORTES JANET FLOR                             140
27/09/2019  63291514         LAU ZAVALETA YDALI ELIA                             124
28/09/2019  69252518         GORDILLO SANCHEZ RONALD JUVENAL                     305
28/09/2019  50201756         ZEGARRA PENA CARMELA                                106
28/09/2019  90467829         IPARRAGUIRRE PEREZ NICOLAS                          327
28/09/2019  54447051         AVILA DEL CASTILLO ANNIE                            150
28/09/2019  50200823         LEYVA SAM DIANA DELIA                               111
29/09/2019  64178096         VIZCARRA CARBAJAL IVAN FAUSTO                       322
30/09/2019  99950484         CORTES CORTEZ RAUL ALEX                             329

Anio   2019 Mes:  10
FECHA       LICENCIA                      NOMBRE                                FALTA
====================================================================================================
01/10/2019  53374153         SERRANO IBEROS FRANCISCO                            305
01/10/2019  54447051         AVILA DEL CASTILLO ANNIE                            133
02/10/2019  70414420         AVILA REYES TATIANA                                 144
03/10/2019  88167677         PRADO VERA JUAN                                     160
03/10/2019  87282766         SUAREZ CHANG GLORIA                                 306
03/10/2019  75348522         LOZADA FORZANI DELIA                                157
04/10/2019  64178096         VIZCARRA CARBAJAL IVAN FAUSTO                       207
04/10/2019  82031355         EGUSQUIZA BERROCAL DORIS NANCY                      305
05/10/2019  24859596         FLORIAN CUBA CHRISTIAN                              310
06/10/2019  44188994         VILCARA YALLICO MAGALI                              126
07/10/2019  81799482         CERNA CERNA CINTHIA                                 309
07/10/2019  34248357         LEYVA LANDEO NANCY SONIA                            305
07/10/2019  49428502         RIVERO CORTEZ WILVER ALFONSO                        306
08/10/2019  77763722         FARFAN SALAZAR MARGOT                               129
08/10/2019  15029228         VALVERDE MAEIREIZO MELVIN JAIR                      144
09/10/2019  48878256         RAFFO CORONADO ROLANDO                              137
11/10/2019  88854166         PINTO ROJAS JUVENAL FRANCISCO                       164
12/10/2019  30441350         RETAMOSO SALAMANCA DELIA MARITZA                    339
12/10/2019  70414420         AVILA REYES TATIANA                                 331
13/10/2019  50200823         LEYVA SAM DIANA DELIA                               138
14/10/2019  35912665         MARTINEZ CRUZ EVERT RONY                            156
17/10/2019  99950484         CORTES CORTEZ RAUL ALEX                             101
17/10/2019  63736112         ZAMORA ZAVALETA RONAL MANUEL                        325
18/10/2019  48878256         RAFFO CORONADO ROLANDO                              145
18/10/2019  32090869         SUELDO ANTEZANO LUIS JESUS                          145
18/10/2019  70414420         AVILA REYES TATIANA                                 112
19/10/2019  35297848         ASTETE CHANG GUIDA                                  335
19/10/2019  60784914         RUIZ ZEVALLOS WALTER RONY                           319
20/10/2019  60335381         DIAZ TANG ENRIQUE                                   118
21/10/2019  63736112         ZAMORA ZAVALETA RONAL MANUEL                        302
