FALTAS LEVES
======================================================================
No.       Licencia          Placa          Cantidad       Monto
088)      68310808          W8F-397            1         474.00
089)      63736112          K0D-676            1        3950.00
090)      30046639          L8F-459            2         948.00
091)      24859596          L6D-758            1         474.00
092)      48878256          G2R-979            1         474.00
093)      47528229          G8O-154            1         474.00
094)      96693273          F3R-138            1        1975.00
095)      86718074          L4O-783            2        4898.00
096)      89314225          C3A-423            1        5925.00
097)      15559308          X6O-905            1         948.00
098)      77763722          Q4P-612            1         948.00
099)      34248357          S5E-231            1         474.00
100)      88167677          B4C-100            1         474.00
101)      37080813          O9W-355            1           0.00
102)      58992942          H8M-598            1         474.00
103)      53853385          O5L-856            2        1896.00
104)      34248357          R7N-062            1         474.00
105)      85501710          N2C-590            1         711.00
106)      64532449          V4I-691            2        4424.00
107)      39544560          N4J-043            2         948.00
108)      64178096          B7V-643            1         474.00
109)      54141214          J7Y-327            1         474.00
110)      32244565          K4F-319            2         948.00
111)      73818744          U5N-536            2         948.00
112)      60784914          C6G-842            1         948.00
113)      48450395          H6H-085            1         474.00
114)      13628871          F3E-797            2        3950.00
115)      37080813          P7E-145            1         474.00
116)      89941095          P6T-244            1         474.00
117)      86429854          M5U-987            1        5925.00
118)      12270502          Y5F-449            1         474.00
119)      39544560          Y0K-784            2        6399.00
120)      77763722          W2L-827            1         948.00
121)      43454884          P6Z-734            1         474.00
122)      54141214          Y9G-536            1         474.00
123)      35297848          O7D-970            1         474.00
124)      96693273          C0G-556            1         474.00
125)      58992942          V7O-315            1         474.00
126)      73567806          E2D-493            1         948.00
127)      53853385          T9X-217            1        1975.00
128)      82870470          K0H-387            1         474.00
129)      99950484          X0R-946            1         474.00
130)      15559308          S3L-803            1        1975.00
131)      87495937          L2H-207            1         474.00
132)      49927087          M8Q-758            2        4424.00
133)      28820944          H2K-127            1         474.00
134)      77367073          N7K-403            1         474.00
135)      32090869          L4B-291            1         474.00
136)      38862473          S6Y-726            1         474.00
137)      90467829          H1R-953            1         474.00
138)      38862473          K3B-165            1         474.00
139)      12270502          O1C-880            1         474.00
140)      68310808          I3A-223            1           0.00
141)      73972114          J2M-606            2         948.00
142)      25518120          U1X-768            1         474.00
143)      12443643          R8H-409            1         474.00
144)      42956681          A6D-661            1         474.00
145)      79641328          B4R-105            1         474.00
146)      80310768          N5J-515            1         474.00
147)      48878256          W6Z-142            1         474.00
148)      35912665          O2Z-308            1         474.00
149)      16136330          E3U-231            1         474.00
150)      99950484          L8A-167            1         474.00
**********************************************************************
