Fecha       Licencia    Placa          Infraccion      Monto     Descuento  Puntos    Meses Susp
2019/07/17  79641328    X8Q-687        Muy Grave       474.00      0.00       500         0
2019/07/16  48450395    G1P-591        Grave           316.00      0.25       100         0
2019/07/15  30441350    X0F-315        Grave           316.00      0.25       100         0
2019/07/14  71832810    T1K-210        Leve            158.00      0.50         0         0
2019/07/14  81485316    F1O-596        Muy Grave         0.00      0.00      2000        12
2019/07/13  38862473    S6Y-726        Muy Grave       474.00      0.00       500         0
2019/07/12  70414420    U5T-348        Grave           316.00      0.25       100         0
2019/07/12  34248357    U0T-459        Muy Grave       474.00      0.00       500         0
2019/07/12  47528229    I4H-529        Grave           316.00      0.25       100         0
2019/07/11  16925690    F3F-478        Muy Grave       474.00      0.00       500         0
2019/07/10  42956681    E0L-862        Grave           316.00      0.25       100         0
2019/07/09  69252518    Y0Y-415        Grave           316.00      0.25       200         0
2019/07/08  50200823    Q6C-943        Grave           316.00      0.25       100         0
2019/07/06  16925690    F3F-478        Grave           316.00      0.25       100         0
2019/07/05  43454884    G0F-080        Muy Grave      1975.00      0.00       600         1
2019/07/04  13219606    M2Q-712        Grave           316.00      0.25       100         0
2019/07/02  88854166    H3E-885        Grave           316.00      0.25       200         0
2019/07/02  48878256    W6Z-142        Grave           316.00      0.25       100         0
2019/07/02  79641328    X8Q-687        Grave           316.00      0.25       100         0
2019/07/02  85501710    Z4K-431        Grave           316.00      0.25       100         0
2019/07/01  80457845    Z5G-762        Grave           316.00      0.25       100         0
2019/06/30  54447051    G3Y-654        Leve            158.00      0.50         0         0
2019/06/30  13219606    N1O-921        Grave           316.00      0.25       100         0
2019/06/29  73567806    W9Z-281        Muy Grave       474.00      0.00       500         0
2019/06/29  79641328    L0L-653        Grave           316.00      0.25       200         0
2019/06/29  47528229    G8O-154        Leve            158.00      0.50         0         0
2019/06/28  87282766    S1D-093        Grave           316.00      0.25       100         0
2019/06/28  71832810    T1K-210        Grave           316.00      0.25       100         0
2019/06/27  12858682    T5L-371        Muy Grave         0.00      0.00      2000        12
2019/06/26  69252518    Y0Y-415        Grave           316.00      0.25       100         0
2019/06/26  79766395    N6D-256        Grave           316.00      0.25       100         0
2019/06/25  36079131    I0W-872        Muy Grave      3950.00      0.00      1000         6
2019/06/25  73357516    G0B-604        Muy Grave       474.00      0.00       500         0
2019/06/25  68310808    X6M-077        Grave           316.00      0.25       100         0
2019/06/25  27268323    L6Z-161        Grave           316.00      0.25       100         0
2019/06/24  48450395    H6H-085        Muy Grave       474.00      0.00       500         0
2019/06/23  49428502    C0A-114        Muy Grave         0.00      0.00      2000        12
2019/06/21  34248357    U0T-459        Grave           316.00      0.25       100         0
2019/06/21  24859596    B8B-326        Muy Grave       948.00      0.00       600         1
2019/06/21  71578206    G7Z-721        Grave           316.00      0.25       100         0
2019/06/20  53374153    V7L-069        Grave           316.00      0.25       100         0
2019/06/19  31107104    O3T-110        Muy Grave      3950.00      0.00      1000         6
2019/06/19  85501710    Z4K-431        Grave           316.00      0.25       100         0
2019/06/19  89314225    C3A-423        Muy Grave       474.00      0.00       500         0
2019/06/17  87282766    S1D-093        Grave           316.00      0.25       100         0
2019/06/17  86718074    Q6I-941        Leve            158.00      0.50         0         0
2019/06/16  54447051    D5W-773        Grave           316.00      0.25       100         0
2019/06/15  26522329    U7R-252        Grave           316.00      0.25       100         0
2019/06/14  68310808    X6M-077        Grave           316.00      0.25       100         0
2019/06/13  88167677    B4C-100        Muy Grave       474.00      0.00       500         0
2019/06/12  26522329    W7R-114        Muy Grave       474.00      0.00       500         0
2019/06/12  36079131    H5S-788        Grave           316.00      0.25       200         0
2019/06/12  79672079    Y3Q-331        Muy Grave       948.00      0.00       600         1
2019/06/12  88167677    Y4Y-028        Grave           316.00      0.25       100         0
2019/06/11  81799482    V7P-711        Grave           316.00      0.25       100         0
2019/06/10  73972114    D8H-157        Muy Grave      3950.00      0.00       100         6
2019/06/10  27864822    R5C-239        Grave           316.00      0.25       200         0
2019/06/10  82870470    C4O-436        Grave           316.00      0.25       100         0
2019/06/08  24859596    L6D-758        Muy Grave       474.00      0.00       500         0
2019/06/08  12858682    T5L-371        Grave           316.00      0.25       200         0
2019/06/08  30046639    S3F-021        Grave           316.00      0.25       100         0
2019/06/07  19963454    D9A-711        Grave           316.00      0.25       100         0
2019/06/06  39544560    Y0K-784        Grave           316.00      0.25       100         0
2019/06/05  21621497    W5W-525        Grave           316.00      0.25       100         0
2019/06/05  64532449    V4I-691        Grave           316.00      0.25       100         0
2019/06/03  80457845    M7F-612        Grave           316.00      0.25       200         0
2019/06/03  16925690    R7N-113        Grave           316.00      0.25       100         0
2019/06/02  88167677    V7U-622        Grave           316.00      0.25       100         0
2019/06/01  49927087    X3E-271        Grave           316.00      0.25       100         0
2019/06/01  16477908    X9D-758        Grave           316.00      0.25       100         0
2019/05/31  88167677    O0C-616        Grave           316.00      0.25       100         0
2019/05/31  74325123    V9F-655        Grave           316.00      0.25       100         0
2019/05/31  50201756    K5K-595        Leve            158.00      0.50         0         0
2019/05/30  96693273    B9X-420        Muy Grave       474.00      0.00       500         0
2019/05/30  15029228    N0Z-560        Leve            158.00      0.50         0         0
2019/05/28  99950484    Y6I-680        Grave           316.00      0.25       100         0
2019/05/28  96693273    B9X-420        Grave           316.00      0.25       200         0
2019/05/27  73357516    E6R-293        Grave           316.00      0.25       100         0
2019/05/26  80457845    M7F-612        Grave           316.00      0.25       100         0
2019/05/26  75348522    P5B-640        Grave           316.00      0.25       100         0
2019/05/24  34248357    S5E-231        Grave           316.00      0.25       100         0
2019/05/23  53853385    R6P-267        Grave           316.00      0.25       100         0
2019/05/22  49927087    G7B-252        Grave           316.00      0.25       100         0
2019/05/22  29833157    I9F-484        Grave           316.00      0.25       100         0
2019/05/21  73357516    E6R-293        Grave           316.00      0.25       100         0
2019/05/21  16136330    E3U-231        Muy Grave      5925.00      0.00      2000         6
2019/05/21  53853385    T9X-217        Grave           316.00      0.25       200         0
2019/05/20  35683701    D5W-953        Grave           316.00      0.25       200         0
2019/05/19  79641328    X8Q-687        Grave           316.00      0.25       100         0
2019/05/19  66849703    J2F-853        Grave           316.00      0.25       100         0
2019/05/18  66849703    B4N-777        Leve            158.00      0.50         0         0
2019/05/18  48878256    G2R-979        Grave           316.00      0.25       100         0
2019/05/16  87495937    M5G-669        Grave           316.00      0.25       200         0
2019/05/15  80310768    M1E-751        Leve            158.00      0.50         0         0
2019/05/15  26522329    W7R-114        Muy Grave       948.00      0.00       600         1
2019/05/15  38862473    K3B-165        Muy Grave       474.00      0.00       500         0
2019/05/14  38862473    S6Y-726        Muy Grave       948.00      0.00       600         1
2019/05/14  16925690    F3F-478        Muy Grave       474.00      0.00       500         0
2019/05/14  34248357    R7N-062        Muy Grave      3950.00      0.00       100         6
2019/05/13  75945248    K6X-977        Grave           316.00      0.25       100         0
2019/05/13  90467829    H1R-953        Muy Grave       948.00      0.00       600         1
2019/05/13  32244565    K4F-319        Grave           316.00      0.25       100         0
2019/05/10  96693273    A6K-820        Muy Grave       948.00      0.00       600         1
2019/05/10  87495937    Z8C-558        Grave           316.00      0.25       200         0
2019/05/09  19568447    O7W-705        Grave           316.00      0.25       100         0
2019/05/06  52002275    C0S-417        Muy Grave       474.00      0.00       500         0
2019/05/05  88167677    O0C-616        Muy Grave       474.00      0.00       500         0
2019/05/05  80457845    Z5G-762        Grave           316.00      0.25       100         0
2019/05/04  71578206    Y9F-491        Grave           316.00      0.25       100         0
2019/05/03  51395324    M4Z-108        Grave           316.00      0.25       200         0
2019/05/03  73567806    E2D-493        Muy Grave      3950.00      0.00      1000         6
2019/05/03  48878256    G2R-979        Muy Grave       474.00      0.00       500         0
2019/05/03  27864822    S3D-133        Grave           316.00      0.25       100         0
2019/05/02  75945248    K6X-977        Muy Grave       474.00      0.00       500         0
2019/05/02  77763722    W2L-827        Grave           316.00      0.25       200         0
2019/05/01  81799482    V7P-711        Grave           316.00      0.25       100         0
2019/05/01  60784914    A8J-929        Grave           316.00      0.25       100         0
2019/04/30  96693273    C0G-556        Grave           316.00      0.25       100         0
2019/04/30  36079131    I0W-872        Grave           316.00      0.25       200         0
2019/04/29  32244565    M8W-853        Muy Grave       474.00      0.00       500         0
2019/04/26  96693273    C0G-556        Grave           316.00      0.25       100         0
2019/04/25  35912665    O2Z-308        Grave           316.00      0.25       100         0
2019/04/22  82031355    H6X-124        Grave           316.00      0.25       100         0
2019/04/22  53853385    T9X-217        Muy Grave      1975.00      0.00       800         3
2019/04/22  36079131    I0W-872        Leve            158.00      0.50         0         0
2019/04/20  29833157    I9F-484        Grave           316.00      0.25       100         0
2019/04/20  54141214    J7Y-327        Grave           316.00      0.25       100         0
2019/04/19  73567806    Q9D-870        Grave           316.00      0.25       100         0
2019/04/19  35671623    V4E-749        Grave           316.00      0.25       100         0
2019/04/18  67185679    F1F-571        Grave           316.00      0.25       100         0
2019/04/16  63736112    K0D-676        Grave           316.00      0.25       100         0
2019/04/15  73567806    A7Y-833        Muy Grave      5925.00      0.00      2000         6
2019/04/13  80310768    N5J-515        Muy Grave       474.00      0.00       500         0
2019/04/11  84186239    T6W-978        Grave           316.00      0.25       100         0
2019/04/11  45043076    R1T-735        Muy Grave       711.00      0.00       600         1
2019/04/08  35297848    O7D-970        Grave           316.00      0.25       100         0
2019/04/08  32244565    J1E-736        Grave           316.00      0.25       100         0
2019/04/07  15115705    N9Q-814        Grave           316.00      0.25       100         0
2019/04/07  29833157    S2N-896        Grave           316.00      0.25       100         0
2019/04/06  84186239    W9Y-717        Grave           316.00      0.25       100         0
2019/04/05  82031355    H6X-124        Grave           316.00      0.25       100         0
2019/04/05  15559308    S3L-803        Muy Grave       474.00      0.00       500         0
2019/04/04  89941095    R8O-904        Grave           316.00      0.25       100         0
2019/04/03  80457845    M7F-612        Grave           316.00      0.25       100         0
2019/04/01  25518120    E1J-798        Grave           316.00      0.25       100         0
2019/03/30  27864822    T9U-338        Muy Grave       474.00      0.00       500         0
2019/03/30  79672079    O3H-954        Muy Grave       474.00      0.00       500         0
2019/03/27  34976629    J8B-303        Grave           316.00      0.25       100         0
2019/03/27  47528229    I4H-529        Grave           316.00      0.25       100         0
2019/03/25  15559308    S3L-803        Grave           316.00      0.25       100         0
2019/03/25  48878256    Z4L-514        Muy Grave       474.00      0.00       500         0
2019/03/23  35912665    O2Z-308        Grave           316.00      0.25       100         0
2019/03/23  85501710    Z4K-431        Muy Grave       474.00      0.00       500         0
2019/03/22  42956681    A6D-661        Muy Grave       711.00      0.00       600         1
2019/03/21  13219606    N1O-921        Grave           316.00      0.25       100         0
2019/03/21  25518120    F2C-703        Grave           316.00      0.25       200         0
2019/03/20  52003695    H8S-849        Grave           316.00      0.25       100         0
2019/03/20  79641328    B4R-105        Muy Grave      3950.00      0.00      1000         6
2019/03/19  77763722    D1M-667        Muy Grave      3950.00      0.00       100         6
2019/03/19  15029228    J0Q-121        Grave           316.00      0.25       100         0
2019/03/18  64178096    I0X-469        Muy Grave       474.00      0.00       500         0
2019/03/18  54141214    G2I-709        Grave           316.00      0.25       100         0
2019/03/18  73567806    Q9D-870        Muy Grave      1975.00      0.00       600         1
2019/03/18  27864822    T9U-338        Leve            158.00      0.50         0         0
2019/03/18  63736112    T9A-930        Grave           316.00      0.25       100         0
2019/03/17  73972114    J2M-606        Muy Grave       711.00      0.00       600         1
2019/03/17  43454884    P6Z-734        Muy Grave       711.00      0.00       600         1
2019/03/16  24859596    B8B-326        Muy Grave      1975.00      0.00       800         3
2019/03/15  53374153    G6I-762        Grave           316.00      0.25       200         0
2019/03/14  38862473    K3B-165        Muy Grave       474.00      0.00       500         0
2019/03/14  42956681    L8Z-555        Grave           316.00      0.25       100         0
2019/03/13  64532449    X3Z-285        Grave           316.00      0.25       100         0
2019/03/13  60784914    A8J-929        Leve            158.00      0.50         0         0
2019/03/12  69252518    P7I-760        Grave           316.00      0.25       100         0
2019/03/11  70414420    U5T-348        Grave           316.00      0.25       100         0
2019/03/11  81528434    B3U-020        Muy Grave       474.00      0.00       500         0
2019/03/11  50200823    R0P-255        Grave           316.00      0.25       100         0
2019/03/10  12270502    Y5F-449        Grave           316.00      0.25       100         0
2019/03/09  81799482    E3U-768        Grave           316.00      0.25       100         0
2019/03/08  31107104    E0I-722        Grave           316.00      0.25       100         0
2019/03/08  69252518    Y0Y-415        Muy Grave       474.00      0.00       500         0
2019/03/07  88167677    Y4Y-028        Grave           316.00      0.25       100         0
2019/03/07  68310808    X6M-077        Grave           316.00      0.25       100         0
2019/03/06  26522329    W7R-114        Leve            158.00      0.50         0         0
2019/03/06  87495937    C5G-743        Grave           316.00      0.25       100         0
2019/03/06  88167677    V7U-622        Muy Grave       474.00      0.00       500         0
2019/03/04  30441350    X0F-315        Muy Grave       474.00      0.00       500         0
2019/03/02  82031355    Z5D-724        Grave           316.00      0.25       100         0
2019/03/01  79766395    N6D-256        Muy Grave       474.00      0.00       500         0
