DY2694         DELICIA ARCA AQUINO                            523.53
1647285        Vega/Henrry                                      6      9.15   4817.60
3939698        Henriquez/Silvana                                2      2.41   1268.01
UK631          VICTORIA FIORELLA CUBA POMAJAMBO               256.05
3939698        Henriquez/Silvana                                1      0.98    515.04
2973662        Vargas/Daniel                                    4      9.09   2326.78
9357767        Solis/Rolando                                    3      5.63   1441.56
8269451        Asmad/Adria                                      4      7.98   2042.28
1465986        Sam/Ines                                         4      5.03   1288.64
1422479        Lozada/Felicita                                  4      3.94   1009.12
7282858        Soma/Lourdes                                     3      6.61   1692.85
3731806        Salamanca/Virginia                               1      0.62    157.90
KK4143         YLIANA FLOR ORTIZ GUEVARA                       55.48
9357767        Solis/Rolando                                    1      2.50    638.84
1061535        Solis/Maria                                      3      5.10    282.76
1964357        Arca/Magali                                      4      6.21    344.28
9891737        Contreras/Johana                                 2      2.21    122.81
FN2270         TERESA TERESA MARTEL MERCADO                   170.85
1061535        Solis/Maria                                      1      2.08    115.29
1465986        Sam/Ines                                         4      7.90   1350.24
1187814        Narvaez/Jesus                                    5      7.62   1302.30
4815159        Patino/Delicia                                   4      6.61   1129.56
5912822        Camacho/Ydali                                    4      6.50   1109.67
1422479        Lozada/Felicita                                  3      5.37    918.18
3640178        Rodriguez/Blanca                                 4      7.63   1303.06
5290194        Hernandez/Guillermo                              1      2.11    360.49
NA7089         WILMER SAENZ ARANDA                            176.60
1422479        Lozada/Felicita                                  1      1.73    295.10
2330000        Vega/Carmela                                     4      7.40   1306.06
9891737        Contreras/Johana                                 2      1.74    306.45
2126128        Durand/Enrique                                   4      4.80    848.51
2679759        Bravo/Janet                                      4      7.90   1394.60
5656771        Raffo/Rolando                                    2      4.02    709.93
1642949        Miranda/Alfonso                                  4      4.23    746.63
5852072        Jauregui/Victor                                  2      3.37    595.29
3731806        Salamanca/Virginia                               2      3.31    584.25
SI1895         FRANCISCO ZIMIC SALAS                          854.93
5852072        Jauregui/Victor                                  1      2.86    504.39
0694546        Ramirez/Karina                                   4      5.41   4625.41
5201670        Guevara/Milena                                   4      8.98   7674.90
7440060        Escalante/Emigdio                                4      8.51   7276.88
8114999        Rios/Ines                                        4      6.39   5463.00
4815159        Patino/Delicia                                   4      8.51   7275.22
7324146        Moscoso/Janet                                    4      7.94   6784.34
3961840        Pairazaman/Tatiana                               3      6.30   5388.43
1642949        Miranda/Alfonso                                  3      5.74   4906.82
1873364        Calixto/Erick                                    4      6.50   5554.20
0246960        Escalante/Ines                                   2      3.45   2945.95
EG7183         ESTEFANIA ZEGARRA CASANOVA                     264.21
1642949        Miranda/Alfonso                                  1      1.23   1054.89
2330000        Vega/Carmela                                     4      6.67   1761.03
4149342        Leyva/Diana                                      4      6.99   1846.90
1539774        Alfaro/Erick                                     5     10.61   2802.24
QF5627         HUMBERTO ALFONSO AMEZQUITA CONTRERAS           869.33
1539774        Alfaro/Erick                                     1      1.69    445.27
2330000        Vega/Carmela                                     4      9.67   8410.53
2484697        Diaz/Enrique                                     1      0.50    435.87
4149342        Leyva/Diana                                      3      6.40   5563.95
1284904        Sakaguchi/Carlos                                 2      4.12   3581.88
WE4057         LOURDES CARMELA YALLICO PAREDES                232.61
4149342        Leyva/Diana                                      1      2.61   2265.33
5606314        Mercado/Elia                                     3      5.56   1294.15
2287143        Wong/Beatriz                                     3      3.82    889.35
7182371        Moscoso/Fiorella                                 4      7.19   1672.21
3731806        Salamanca/Virginia                               1      3.01    700.16
SU2339         CINTHIA MILENA ZEGARRA CABELLO                 902.38
2287143        Wong/Beatriz                                     1      0.51    117.92
0694546        Ramirez/Karina                                   4      7.76   7000.71
8643376        Arroyo/Natalia                                   4      3.44   3106.94
1647285        Vega/Henrry                                      6     10.23   9232.35
1465986        Sam/Ines                                         4      6.06   5466.92
0246960        Escalante/Ines                                   2      3.51   3168.11
4149342        Leyva/Diana                                      3      5.77   5206.48
8114999        Rios/Ines                                        4      7.54   6802.19
2484697        Diaz/Enrique                                     1      3.00   2707.39
VE9926         OFELIA BEATRIZ MONTERO BOLANOS                 525.59
4149342        Leyva/Diana                                      5      8.45   5332.04
2287143        Wong/Beatriz                                     4      5.74   3015.13
4815159        Patino/Delicia                                   4      7.23   3799.58
8643376        Arroyo/Natalia                                   4      6.59   3464.51
5606314        Mercado/Elia                                     3      5.78   3037.62
4697743        Ayala/Ericka                                     3      4.64   2438.01
7299012        Suarez/Amaru                                     1      2.46   1291.93
7709566        Ortiz/Raul                                       2      3.20   1680.28
3961840        Pairazaman/Tatiana                               2      3.96   2083.09
4683380        Farfan/Margot                                    2      3.35   1759.70
FZ1150         MIGUEL ALEX LANDEO ESTRADA                     893.34
3961840        Pairazaman/Tatiana                               1      2.00   1048.84
4149342        Leyva/Diana                                      4      8.55   7640.29
0371464        Lozada/Heli                                      2      2.54   2265.11
7282858        Soma/Lourdes                                     3      3.63   3247.29
3282118        Zambrano/Ofelia                                  3      4.41   3937.15
2538825        Hijar/Martin                                     2      2.77   2473.31
1187814        Narvaez/Jesus                                    5      7.82   6988.90
5914393        Lozada/Antonio                                   4      7.38   6596.82
0367684        Sinche/Yvonne                                    5     10.99   9814.08
3420926        Prado/Juan                                       3      4.60   4111.10
2598563        Sueldo/Adria                                     2      1.87   1672.03
EM7896         VICTORIA MILAGROS SHIRAKAWA SAONA               19.29
3420926        Prado/Juan                                       1      2.00   1783.95
1642949        Miranda/Alfonso                                  8     13.74    265.08
6471787        Pena/Glenda                                      3      4.96     95.72
1964357        Arca/Magali                                      4      5.39    104.03
7440060        Escalante/Emigdio                                4      6.15    118.69
3939698        Henriquez/Silvana                                3      7.92    152.69
3961840        Pairazaman/Tatiana                               3      7.72    149.00
2330000        Vega/Carmela                                     3      5.42    104.57
5290194        Hernandez/Guillermo                              1      1.90     36.65
GN6122         ZKENIA IRMA CHUNG ZUNIGA                       842.24
2330000        Vega/Carmela                                     1      1.72     33.25
1964357        Arca/Magali                                      4      7.72   6505.60
1647285        Vega/Henrry                                      6     11.80   9939.13
2287143        Wong/Beatriz                                     4      7.55   6357.98
5852072        Jauregui/Victor                                  3      7.49   6307.68
2598563        Sueldo/Adria                                     2      3.19   2683.70
6039166        Chavez/Johan                                     4      8.73   7352.52
9891737        Contreras/Johana                                 1      2.74   2309.61
XS4488         CARMEN ZAMORA CABRERA                          496.87
9891737        Contreras/Johana                                 1      0.93    781.88
8114999        Rios/Ines                                        4      9.00   4470.86
7324146        Moscoso/Janet                                    4      9.52   4727.86
9596317        Justino/Virginia                                 7     13.53   6722.24
3420926        Prado/Juan                                       4      5.94   2952.65
6988155        Cerna/Cinthia                                    5      6.78   3366.71
2973662        Vargas/Daniel                                    4      6.05   3006.06
2484697        Diaz/Enrique                                     1      0.52    258.37
EC5567         VALENTINA PAULA URBINA ANTEZANO                410.37
9596317        Justino/Virginia                                 1      1.11    552.08
3231760        Zarate/Alexander                                 5      7.86   3223.91
0367684        Sinche/Yvonne                                    6     10.27   4213.25
6934113        Serrano/Arturo                                   3      7.20   2956.15
5201670        Guevara/Milena                                   4      6.57   2695.45
4956687        Luna/Waldemar                                    1      1.37    562.09
AQ7871         WALTER JOLAY CHUMPITAZ                         298.45
2484697        Diaz/Enrique                                     1      0.71    289.99
3282118        Zambrano/Ofelia                                  3      3.62   1079.73
0246960        Escalante/Ines                                   2      3.77   1125.74
3704548        Vizcardo/Maribel                                 4      4.70   1403.21
3231760        Zarate/Alexander                                 5      9.35   2790.92
VD631          MILENA CINTHIA ZARATE ACUNA                    792.07
0371464        Lozada/Heli                                      1      0.50    150.22
6934113        Serrano/Arturo                                   3      3.53   2792.27
8643376        Arroyo/Natalia                                   4      6.52   5160.34
0367684        Sinche/Yvonne                                   10     12.61   9988.22
8269451        Asmad/Adria                                      4      5.76   4561.88
2330000        Vega/Carmela                                     4      8.34   6607.62
5395219        Fuentes/Patricia                                 5      6.53   5171.12
4683380        Farfan/Margot                                    3      7.07   5600.15
3731806        Salamanca/Virginia                               1      1.52   1207.47
SE6117         EDGAR MUNOZ VERGEL                             337.03
5395219        Fuentes/Patricia                                 1      1.53   1209.89
7182371        Moscoso/Fiorella                                 4      8.82   2971.20
7709566        Ortiz/Raul                                       2      3.19   1073.91
2598563        Sueldo/Adria                                     2      5.79   1952.53
3640178        Rodriguez/Blanca                                 4      8.19   2761.59
4697743        Ayala/Ericka                                     2      2.90    978.98
6988155        Cerna/Cinthia                                    5      9.15   3082.61
JC2133         DELIA ZARATE URBINA                            389.91
4697743        Ayala/Ericka                                     1      1.88    632.21
3704548        Vizcardo/Maribel                                 4      5.33   2076.27
9596317        Justino/Virginia                                 3      5.23   2041.18
5290194        Hernandez/Guillermo                              1      1.70    664.47
5914393        Lozada/Antonio                                   4      5.82   2268.84
5606314        Mercado/Elia                                     3      5.73   2232.56
0371464        Lozada/Heli                                      2      3.69   1437.68
QT9295         DELICIA ROSA ARCA LEIVA                        405.69
9596317        Justino/Virginia                                 1      0.86    335.00
4697743        Ayala/Ericka                                     3      5.11   2073.98
7182371        Moscoso/Fiorella                                 3      4.66   1890.85
2287143        Wong/Beatriz                                     4      9.53   3866.00
5656771        Raffo/Rolando                                    2      3.52   1427.13
2126128        Durand/Enrique                                   4      5.94   2408.90
9891737        Contreras/Johana                                 2      4.27   1732.63
0694546        Ramirez/Karina                                   6     11.67   4736.21
7282858        Soma/Lourdes                                     3      7.30   2960.97
8114999        Rios/Ines                                        4      5.97   2421.18
1061535        Solis/Maria                                      4      9.61   3900.37
JH7988         GIOVANA MEJIA ZEGARRA                          758.51
7182371        Moscoso/Fiorella                                 1      0.98    397.91
8114999        Rios/Ines                                        4      9.66   7323.62
4815159        Patino/Delicia                                   4      9.24   7006.74
0367684        Sinche/Yvonne                                    6     10.28   7798.11
5201670        Guevara/Milena                                   4      6.43   4877.01
2973662        Vargas/Daniel                                    3      3.87   2938.59
6091742        Baca/Milagros                                    4      5.41   4105.01
0371464        Lozada/Heli                                      2      4.37   3311.11
4149342        Leyva/Diana                                      4      5.78   4384.40
YX7775         ROSARIO TABORI ARIAS                           977.98
2973662        Vargas/Daniel                                    1      2.42   1837.70
5914393        Lozada/Antonio                                   4      7.68   7511.70
8992638        Trigueros/Luz                                    2      2.15   2103.74
5656771        Raffo/Rolando                                    2      2.96   2896.18
1465986        Sam/Ines                                         4      6.63   6487.00
0371464        Lozada/Heli                                      2      2.58   2522.92
6471787        Pena/Glenda                                      3      4.64   4537.83
3939698        Henriquez/Silvana                                2      3.62   3541.65
TE5578         JAIME JULIAN SHIRAKAWA FLORIAN                 169.44
3939698        Henriquez/Silvana                                1      2.52   2461.25
5852072        Jauregui/Victor                                  3      4.99    845.03
5395219        Fuentes/Patricia                                 6     13.83   2342.74
1465986        Sam/Ines                                         3      5.15    872.66
1642949        Miranda/Alfonso                                  4      8.73   1479.40
2598563        Sueldo/Adria                                     2      1.79    303.77
2126128        Durand/Enrique                                   4      8.68   1470.50
7324146        Moscoso/Janet                                    4      7.49   1269.44
VG9077         FIORELLA ERIKA FLORENCIO POLO                  470.72
1465986        Sam/Ines                                         1      1.86    315.68
4815159        Patino/Delicia                                   4      6.79   3193.97
1647285        Vega/Henrry                                      6     13.58   6390.15
2126128        Durand/Enrique                                   8     12.09   5692.44
1284904        Sakaguchi/Carlos                                 2      2.92   1374.63
6471787        Pena/Glenda                                      3      4.90   2307.97
2538825        Hijar/Martin                                     3      5.13   2415.84
5347567        Sedano/Elia                                      3      5.01   2356.35
8269451        Asmad/Adria                                      4      8.11   3815.84
6934113        Serrano/Arturo                                   2      4.12   1938.19
HF493          HUMBERTO ALBERTO VARGAS GUEVARA                780.49
6934113        Serrano/Arturo                                   1      0.87    409.79
9357767        Solis/Rolando                                    4      7.87   6141.37
1061535        Solis/Maria                                      4      7.61   5938.01
2538825        Hijar/Martin                                     2      3.07   2392.42
1642949        Miranda/Alfonso                                  4      9.17   7156.66
2287143        Wong/Beatriz                                     3      4.10   3201.96
5100362        Arca/Lucero                                      4      4.59   3582.88
6471787        Pena/Glenda                                      3      4.23   3304.94
5852072        Jauregui/Victor                                  3      6.49   5065.38
YE3676         DELIA ESTEFANIA CABRERA MORENO                 781.15
2287143        Wong/Beatriz                                     1      1.47   1149.05
2275859        Egusquiza/Doris                                  5     10.10   7890.05
4956687        Luna/Waldemar                                    1      1.08    842.56
1422479        Lozada/Felicita                                  3      7.02   5480.20
WC7862         ROSARIO MARIBEL YEP ZAVALETA                   997.38
1422479        Lozada/Felicita                                  1      1.79   1398.48
7440060        Escalante/Emigdio                                4      6.91   6896.33
1187814        Narvaez/Jesus                                    5      5.11   5098.83
3282118        Zambrano/Ofelia                                  3      8.57   8551.70
5290194        Hernandez/Guillermo                              1      0.81    812.03
9561864        Rosemberg/Julio                                  4      9.87   9844.97
0371464        Lozada/Heli                                      1      2.21   2207.53
HV822          ALFONSO WALDEMAR CABELLO LAM                   184.46
0371464        Lozada/Heli                                      1      1.04   1037.83
7282858        Soma/Lourdes                                     3      4.85    894.32
6988155        Cerna/Cinthia                                    4      7.71   1421.62
9561864        Rosemberg/Julio                                  4      4.33    798.25
3961840        Pairazaman/Tatiana                               6     11.16   2058.88
3704548        Vizcardo/Maribel                                 4      9.27   1709.94
1465986        Sam/Ines                                         4      9.10   1679.41
1422479        Lozada/Felicita                                  4      6.17   1138.37
2287143        Wong/Beatriz                                     4      6.69   1233.68
4149342        Leyva/Diana                                      4      9.39   1732.75
QO5098         RAUL COLLADO VILLA                             146.35
6988155        Cerna/Cinthia                                    6      9.52   1483.91
0367684        Sinche/Yvonne                                    6      9.74   1425.37
7324146        Moscoso/Janet                                    4      8.81   1288.73
5395219        Fuentes/Patricia                                 5      6.94   1015.43
2538825        Hijar/Martin                                     3      5.45    797.36
9596317        Justino/Virginia                                 3      4.22    617.72
IC404          DAVID CARLOS PEREZ ANTEZANO                      4.56
9596317        Justino/Virginia                                 1      1.29    189.12
2538825        Hijar/Martin                                     3      2.20     10.01
0694546        Ramirez/Karina                                   6      6.79     30.98
7440060        Escalante/Emigdio                                4      6.40     29.20
5395219        Fuentes/Patricia                                 5      9.59     43.75
2126128        Durand/Enrique                                   4      7.19     32.78
1284904        Sakaguchi/Carlos                                 2      3.23     14.74
4815159        Patino/Delicia                                   3      4.87     22.22
7709566        Ortiz/Raul                                       2      3.17     14.44
8269451        Asmad/Adria                                      4     10.25     46.75
QF2620         EMILIO EMIGDIO GONZALES AGUIRRE                981.29
4815159        Patino/Delicia                                   4      7.17   5424.23
9891737        Contreras/Johana                                 2      3.27   3211.54
6934113        Serrano/Arturo                                   3      5.75   5645.14
2126128        Durand/Enrique                                   4      4.34   4259.34
5290194        Hernandez/Guillermo                              1      1.58   1551.80
GX6876         BLANCA LUZ ACUNA AYLLON                        654.46
4815159        Patino/Delicia                                   1      2.20   2154.20
1061535        Solis/Maria                                      3      5.48   3583.90
4683380        Farfan/Margot                                    3      3.87   2533.85
IN1846         SURAMI HELI PRECIADO PINTO                     738.90
1061535        Solis/Maria                                      1      1.67   1094.04
5912822        Camacho/Ydali                                    4      6.11   4511.39
6934113        Serrano/Arturo                                   3      7.12   5261.38
3282118        Zambrano/Ofelia                                  3      4.90   3618.97
3961840        Pairazaman/Tatiana                               2      2.40   1773.57
